type,title,url,pubdate,h1_count,h1_text,h2_count,word_count,yoast_focus_keyword,yoast_meta_description
page,מי אני?,https://www.sport4you.co.il/about-me/,"Thu, 18 Jul 2019 02:27:10 +0000",4," | תוכניות לתחרויות מ 10 ק""מ עד אולטרא מרתוןדורית במרתון ג'נבהלחץ כאן לפרטים מלאים | מאמן ריצה וכושר,
 בניית תוכניות ריצה אונליין | מאמן ריצה מומלץ",4,1930,מאמן ריצה מומלץ,"מאמן ריצה מומלץ, בניית תוכניות ריצה אונליין, למתחילים ולמתקדמים, 10 ק""מ, חצי מרתון, מרתון, אולטרה מרתון, אימון אישי, מבוגרים וילדים"
page,אימוני ריצה,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99-%d7%a8%d7%99%d7%a6%d7%94/,"Thu, 18 Jul 2019 02:38:17 +0000",1,אימוני ריצה,3,1069,אימוני ריצה קבוצת ריצה,"אימוני ריצה קבוצת ריצה וכושר למתחילים ומתקדמים עבור פרטיים, ארגונים וחברות, אימוני ריצה קבוצת ריצה וכושר משפחתיות אזור המרכז, מאמן ריצה מומלץ"
page,קבוצות ריצה לרצים מתחילים ומנוסים,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99-%d7%a8%d7%99%d7%a6%d7%94/%d7%a7%d7%91%d7%95%d7%a6%d7%95%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%9e%d7%aa%d7%97%d7%99%d7%9c%d7%99%d7%9d/,"Thu, 18 Jul 2019 07:33:48 +0000",1,קבוצת ריצה מתחילים,5,966,קבוצת ריצה מתחילים,"קבוצת ריצה מתחילים תוכנית ריצה וליווי שוטף, אימוני טכניקה, כח למניעת פציעות וחיזוק שרירי ליבה ושלד, חיטוב והרזיה."
page,קבוצות ריצה וכושר לחברות וארגונים BUSINESS,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99-%d7%a8%d7%99%d7%a6%d7%94/%d7%a7%d7%91%d7%95%d7%a6%d7%95%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-business-%d7%90%d7%a8%d7%92%d7%95%d7%a0%d7%99%d7%9d-%d7%95%d7%97%d7%91%d7%a8%d7%95%d7%aa/,"Thu, 18 Jul 2019 07:35:53 +0000",1,קבוצות ריצה ארגונים וחברות,5,891,קבוצות ריצה business ארגונים וחברות,"קבוצות ריצה לארגונים וחברות BUSINESS מיועדת לעסקים לפיתוח המשאב האנושי, גיבוש וחיזוק הארגון, הווי החברתי, תוכנית אישית-ריצה,תזונה,כח"
page,מאמן כושר ילדים,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a0%d7%95%d7%a2%d7%a8/,"Thu, 18 Jul 2019 09:43:41 +0000",1,מאמן כושר ילדים,5,1185,מאמן כושר ילדים,"מאמן כושר ילדים מומלץ אימון אישי, זוגי, הורה וילד, גם לבעלי הפרעה קשב וריכוז, בעלי מוגבלויות, שימוש במגוון משחקים ואביזרים, אימון מהנה ויחודי"
page,קבוצות אתלטיקט ילדים,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a0%d7%95%d7%a2%d7%a8/%d7%a7%d7%91%d7%95%d7%a6%d7%95%d7%aa-%d7%90%d7%aa%d7%9c%d7%98%d7%99%d7%a7%d7%98-%d7%99%d7%9c%d7%93%d7%99%d7%9d/,"Thu, 18 Jul 2019 09:49:25 +0000",1,קבוצות אתלטיקט ילדים,4,1100,,
page,אימון להתמודדות בהפרעות קשב וריכוז,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a0%d7%95%d7%a2%d7%a8/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%9c%d7%94%d7%aa%d7%9e%d7%95%d7%93%d7%93%d7%95%d7%aa-%d7%91%d7%94%d7%a4%d7%a8%d7%a2%d7%95%d7%aa-%d7%a7%d7%a9%d7%91-%d7%95%d7%a8%d7%99%d7%9b%d7%95%d7%96/,"Thu, 18 Jul 2019 18:50:04 +0000",1,אימון להתמודדות עם הפרעת קשב וריכוז,3,1332,אימון כושר הפרעות קשב וריכוז,אימון כושר להתמודדות עם הפרעות קשב וריכוז על ידי מאמן מוסמך ובעל הכשרות מתאימות ניסיון רב באימון ילדים ונוער. הקניית הרגלי כושר וביטחון עצמי
page,אימון אישי הורה וילד,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a0%d7%95%d7%a2%d7%a8/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%90%d7%99%d7%a9%d7%99-%d7%94%d7%95%d7%a8%d7%94-%d7%95%d7%99%d7%9c%d7%93/,"Thu, 18 Jul 2019 18:50:48 +0000",1,אימון אישי הורה וילד,4,1283,אימון אישי הורה וילד,"אימון כושר אישי הורה וילד ע""י תומר אלמוג מאמן כושר מומלץ לילדים ומבוגרים, באימון יחודי להורה וילד-חיזוק הקשר, דוגמא אישית ואורח חיים בריא"
page,מאמן כושר אישי,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99/,"Thu, 18 Jul 2019 18:51:27 +0000",1,אימון כושר אישי,5,1504,מאמן כושר אישי,"מאמן כושר אישי, מומלץ, מאמן ריצה אישי, בביתך או בפארק, תוכנית אימון אונליין, קבעו יעד ואעזור לכם להגשים את המטרה"
page,הבלוג שלי,https://www.sport4you.co.il/v-%d7%9c%d7%95%d7%92/,"Thu, 18 Jul 2019 18:52:28 +0000",0,,1,3,,
page,אימונים מצולמים ONLINE,https://www.sport4you.co.il/v-%d7%9c%d7%95%d7%92/%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%9e%d7%a6%d7%95%d7%9c%d7%9e%d7%99%d7%9d-online/,"Thu, 18 Jul 2019 18:54:04 +0000",0,,0,0,,
page,PHOTO - תרגילים,https://www.sport4you.co.il/v-%d7%9c%d7%95%d7%92/photo-%d7%aa%d7%a8%d7%92%d7%99%d7%9c%d7%99%d7%9d/,"Thu, 18 Jul 2019 18:59:02 +0000",0,,0,0,,
page,חנות אונליין,https://www.sport4you.co.il/%d7%97%d7%a0%d7%95%d7%aa-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f-sport4you/,"Thu, 18 Jul 2019 19:01:34 +0000",0,,0,0,,
page,צור קשר,https://www.sport4you.co.il/%d7%a6%d7%95%d7%a8-%d7%a7%d7%a9%d7%a8/,"Thu, 18 Jul 2019 19:01:57 +0000",2,קבוצות ריצה לעסקים | מאמרים אחרונים,2,203,,
page,תקנון פרטיות,https://www.sport4you.co.il/%d7%a6%d7%95%d7%a8-%d7%a7%d7%a9%d7%a8/%d7%aa%d7%a7%d7%a0%d7%95%d7%9f-%d7%a4%d7%a8%d7%98%d7%99%d7%95%d7%aa/,"Thu, 18 Jul 2019 19:03:32 +0000",1,"תקנון השימוש באתר הנ""ל נכתב בלשון זכר אך האמור בו מתייחס לנשים וגברים כאחד",1,1359,,
