#,type,title,url,h1_count,word_count,decision
1,עמוד,מי אני?,https://www.sport4you.co.il/about-me/,4,1930,שמר
2,עמוד,אימוני ריצה,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99-%d7%a8%d7%99%d7%a6%d7%94/,1,1069,שמר
3,עמוד,קבוצות ריצה לרצים מתחילים ומנוסים,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99-%d7%a8%d7%99%d7%a6%d7%94/%d7%a7%d7%91%d7%95%d7%a6%d7%95%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-%d7%9e%d7%aa%d7%97%d7%99%d7%9c%d7%99%d7%9d/,1,966,שמר
4,עמוד,קבוצות ריצה וכושר לחברות וארגונים BUSINESS,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99-%d7%a8%d7%99%d7%a6%d7%94/%d7%a7%d7%91%d7%95%d7%a6%d7%95%d7%aa-%d7%a8%d7%99%d7%a6%d7%94-business-%d7%90%d7%a8%d7%92%d7%95%d7%a0%d7%99%d7%9d-%d7%95%d7%97%d7%91%d7%a8%d7%95%d7%aa/,1,891,שמר
5,עמוד,מאמן כושר ילדים,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a0%d7%95%d7%a2%d7%a8/,1,1185,שמר
6,עמוד,קבוצות אתלטיקט ילדים,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a0%d7%95%d7%a2%d7%a8/%d7%a7%d7%91%d7%95%d7%a6%d7%95%d7%aa-%d7%90%d7%aa%d7%9c%d7%98%d7%99%d7%a7%d7%98-%d7%99%d7%9c%d7%93%d7%99%d7%9d/,1,1100,שמר
7,עמוד,אימון להתמודדות בהפרעות קשב וריכוז,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a0%d7%95%d7%a2%d7%a8/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%9c%d7%94%d7%aa%d7%9e%d7%95%d7%93%d7%93%d7%95%d7%aa-%d7%91%d7%94%d7%a4%d7%a8%d7%a2%d7%95%d7%aa-%d7%a7%d7%a9%d7%91-%d7%95%d7%a8%d7%99%d7%9b%d7%95%d7%96/,1,1332,שמר
8,עמוד,אימון אישי הורה וילד,https://www.sport4you.co.il/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a0%d7%95%d7%a2%d7%a8/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%90%d7%99%d7%a9%d7%99-%d7%94%d7%95%d7%a8%d7%94-%d7%95%d7%99%d7%9c%d7%93/,1,1283,מיזוג -> #5 (מאמן כושר ילדים) - מאושר
9,עמוד,מאמן כושר אישי,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99/,1,1504,שמר
10,עמוד,הבלוג שלי,https://www.sport4you.co.il/v-%d7%9c%d7%95%d7%92/,0,3,שמר
11,עמוד,אימונים מצולמים ONLINE,https://www.sport4you.co.il/v-%d7%9c%d7%95%d7%92/%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%99%d7%9d-%d7%9e%d7%a6%d7%95%d7%9c%d7%9e%d7%99%d7%9d-online/,0,0,מיזוג -> #21 (VIDEOבלוג)
12,עמוד,PHOTO - תרגילים,https://www.sport4you.co.il/v-%d7%9c%d7%95%d7%92/photo-%d7%aa%d7%a8%d7%92%d7%99%d7%9c%d7%99%d7%9d/,0,0,מחיקה
13,עמוד,חנות אונליין,https://www.sport4you.co.il/%d7%97%d7%a0%d7%95%d7%aa-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f-sport4you/,0,0,מחיקה (הוחלט קודם - חנות אונליין)
14,עמוד,צור קשר,https://www.sport4you.co.il/%d7%a6%d7%95%d7%a8-%d7%a7%d7%a9%d7%a8/,2,203,מיזוג -> #1 (מי אני?)
15,עמוד,תקנון פרטיות,https://www.sport4you.co.il/%d7%a6%d7%95%d7%a8-%d7%a7%d7%a9%d7%a8/%d7%aa%d7%a7%d7%a0%d7%95%d7%9f-%d7%a4%d7%a8%d7%98%d7%99%d7%95%d7%aa/,1,1359,מיזוג -> #1 (מי אני?)
16,עמוד,טופס פרטי מתאמן,https://www.sport4you.co.il/%d7%98%d7%95%d7%a4%d7%a1-%d7%a8%d7%99%d7%a9%d7%95%d7%9d-%d7%9c%d7%90%d7%99%d7%9e%d7%95%d7%9f/,1,624,שמר
17,עמוד,טופס הצהרת בריאות,https://www.sport4you.co.il/%d7%a6%d7%95%d7%a8-%d7%a7%d7%a9%d7%a8/https-docs-google-com-forms-d-1nsumjdnfnua3yhs6wif87kvmj6iuryfjbfozdlcbla8-edit/,1,29,מיזוג -> #1 (מי אני?)
18,עמוד,כרטיס ביקור,https://www.sport4you.co.il/%d7%9b%d7%a8%d7%98%d7%99%d7%a1-%d7%91%d7%99%d7%a7%d7%95%d7%a8-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99-%d7%9c%d7%a2%d7%a1%d7%a7/,0,37,מיזוג -> #1 (מי אני?)
19,עמוד,קבוצת הליכה רמת השרון,https://www.sport4you.co.il/%d7%a7%d7%91%d7%95%d7%a6%d7%aa-%d7%94%d7%9c%d7%99%d7%9b%d7%94-%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,3,1396,מחיקה
20,עמוד,digital card,https://www.sport4you.co.il/digital-card/,0,33,מיזוג -> #1 (מי אני?)
21,עמוד,VIDEOבלוג,https://www.sport4you.co.il/video%d7%91%d7%9c%d7%95%d7%92/,1,21,שמר
22,עמוד,אימון אישי אונליין,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99/%d7%90%d7%99%d7%9e%d7%95%d7%9f-%d7%90%d7%99%d7%a9%d7%99-%d7%90%d7%95%d7%a0%d7%9c%d7%99%d7%99%d7%9f/,1,1009,מחיקה
23,עמוד,מאמן כושר אישי בהרצליה,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%91%d7%94%d7%a8%d7%a6%d7%9c%d7%99%d7%94/,1,1175,שמר - נכתב מחדש עם תוכן עירוני ייחודי
24,עמוד,מאמן כושר אישי בתל אביב,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%91%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/,1,1128,שמר - נכתב מחדש עם תוכן עירוני ייחודי
25,עמוד,מאמן כושר אישי ברמת השרון,https://www.sport4you.co.il/%d7%9e%d7%90%d7%9e%d7%9f-%d7%9b%d7%95%d7%a9%d7%a8-%d7%90%d7%99%d7%a9%d7%99-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%91%d7%a8%d7%9e%d7%aa-%d7%94%d7%a9%d7%a8%d7%95%d7%9f/,1,1101,שמר - נכתב מחדש עם תוכן עירוני ייחודי
